listing_id,id,date,reviewer_id,reviewer_name,comments
703984,415003002495917725,2021-07-26,324403082,Gabriela,"Excelente lugar y buena ubicación, repetiría este lugar sin dudar."
703984,451883167064062133,2021-09-15,401349359,Alejandra,excelente gestión calidad y servcio
703984,459843084874285663,2021-09-26,415211437,Gemma,Piso bonito y espacioso en buena zona. servicio muy amable.
703984,487532332588082666,2021-11-03,370584557,Olivier,Apartamento muy amplio. Todo impecable. Excelente ubicación. Pablo y Eduardo muy atentos.
703984,503372256254431480,2021-11-25,101128681,Camille,Excelente localización. El anfitrión fue muy atento.
703984,617935592631811193,2022-05-02,55397801,Enrique Carlos,"Trato, ubicación y apartamento excelentes."
703984,890466497780295137,2023-05-13,27227306,Roberto,"Excelente ubicación, y el Juan (al administrador del edificio) fue muy amable proporcionando toda la información de llegada y salida."
703984,1157110988289020409,2024-05-15,36575833,Aldo,"Recomendable , muy buena ubicación hermoso apartamento y excelente atención"
715036,3535991,2013-02-13,1263996,Domenico,casa muy bonita y centrica....   a lado tienes restaurantes y supermarket.
1354875,8438571,2013-10-30,8977118,Soledad,"El departamento algo mas oscuro que en las fotos! Pero muy encantador y comodo! Excelente ubicacion, terraza encantadora para tomar unas birras y Reponer fuerzas! Muy amable quien nos recibio.lo unicoque en la cocina el lavaplatos se salia el grifo y nos mojabamos! Jajaj! Aunque es solo un detalle!"
1354875,12228387,2014-04-26,14492802,Jose Antonio,"Es tranquilo y está junto al mercado, con buen ambiente...Está bien y se corresponde con lo anunciado"
1354875,48010204,2015-09-22,12541143,Agostino,La estancia en el piso de Ana ha sido muy satisfactoria. Ana es muy disponible y el piso es tranquilo y bien amueblado. Para quien busca un lugar en donde sentirse en casa en tranquilidad esto es el piso.
1354875,52913574,2015-11-02,8317398,Ximena,"el piso esta muy bien ubicado y es a la vez muy silencioso, ana nos recibió muy bien y respondió rápidamente cada vez que necesitábamos algo extra."
1354875,53576433,2015-11-09,48230244,Iñigo,"Todo perfecto! El piso esta muy bien, muy tranquilo, muy limpio, tiene encanto... Y el barrio es maravilloso. Ana muy amable! Muchísimas gracias!"
1354875,54668421,2015-11-22,30102559,Marta,"Muy buena experiencia en general. La ubicación inmejorable, el barrio de Gracia es genial. El piso muy acogedor, todo correcto. Y la anfitriona muy maja y atenta."
