Palabra,Sentimiento
excelente,3
excelentes,3
impecable,3
impecables,3
limpio,2
limpios,2
limpia,2
limpias,2
limpísimo,2
limpísima,2
amable,2
amables,2
atento,2
atentos,2
atenta,2
atentas,2
ubicación,1
recomendable,2
cómodo,1
comodo,1
cómoda,1
comoda,1
cómodos,1
comodos,1
perfecto,3
perfecta,3
perfectos,3
perfectas,3
perfectamente,3
acogedor,2
acogedora,2
acogedores,2
precioso,2
preciosa,2
preciosos,2
genial,2
increíble,3
increible,3
increíbles,3
maravilloso,3
maravillosa,3
maravillosamente,3
moderno,1
moderna,1
central,1
silencioso,1
silenciosa,1
espectacular,3
fantástico,3
fantastico,3
fantástica,3
estupendo,2
estupenda,2
estupendas,2
agradables,1
agradable,1
encantador,2
encantadora,2
encantados,2
encantadas,2
encantado,2
encantada,2
fácil,1
facil,1
fácilmente,1
rápido,1
rapido,1
rápida,1
rapida,1
puntual,1
seguro,1
segura,1
iluminado,1
iluminada,1
amplio,1
amplia,1
espacioso,1
espaciosa,1
comodidad,1
comodísima,2
comodísimo,2
céntrico,1
centrico,1
proximidad,1
calidad,1
servicio,1
atención,1
atencion,1
fiel,1
flexible,1
comunicación,1
comunicacion,1
bien,1
super,1
súper,1
super,1
lindo,1
linda,1
lindas,1
lindisimo,2
bueno,1
buena,1
buen,1
buenos,1
buenas,1
disponible,1
ayuda,1
recomendaría,2
recomendaria,2
volvería,2
volveria,2
repetiría,2
repetiria,2
recomiendo,1
gracias,1
detallista,1
decorado,1
decorada,1
luminoso,1
luminosa,1
reformado,1
reformada,1
equipado,1
equipada,1
maravilla,2
tranquilo,1
tranquila,1
tranquilos,1
magnífico,3
magnifico,3
magnífica,3
fenomenal,3
fenómeno,2
ideal,2
inmejorable,3
confortable,2
confortables,2
cálido,1
calido,1
cálida,1
hospitalario,2
hospitalaria,2
simpático,2
simpatico,2
simpática,2
servicial,2
profesional,1
satisfecho,2
satisfecha,2
contento,1
contenta,1
feliz,2
felices,2
disfruté,2
disfrute,2
disfrutamos,2
recomendamos,2
repetiremos,2
volveremos,2
estratégico,1
estrategico,1
cercano,1
cercana,1
próximo,1
proximo,1
próxima,1
accesible,1
espléndido,3
esplendido,3
fabuloso,2
fabulosa,2
bonito,1
bonita,1
hermoso,2
hermosa,2
cuidado,1
cuidada,1
sobresaliente,3
destacado,2
destacada,2
único,2
unico,2
única,2
especial,2
encantados,2
recomendación,2
recomendacion,2
recomendaciones,2
placer,1
satisfacción,1
satisfaccion,1
impresionante,3
increíblemente,2
totalmente,1
completamente,1
absolutamente,1
sin duda,1
repetir,1
recomendar,1
sucio,-2
sucios,-2
sucia,-2
sucias,-2
sucisimo,-2
sucísimos,-2
horrible,-2
horribles,-2
ruidoso,-1
ruidosos,-1
ruidosa,-1
ruidosas,-1
ruido,-1
ruidos,-1
ruidazo,-1
caro,-1
caros,-1
cara,-1
caras,-1
carísimo,-1
carisimo,-1
carísima,-1
carísimos,-1
mal,-2
mala,-2
malo,-2
malos,-2
malas,-2
malísimo,-3
malisimo,-3
decepción,-2
